Open,High,Low,Close,Volume
1203.45,1205.87,1203.44,1205.22,2577.6605
1205.22,1206.35,1203.65,1204.38,2300.1534
1204.37,1204.38,1203.48,1203.65,1004.8945
1203.64,1204.07,1202.49,1202.86,1859.0513
1202.85,1203.16,1202.26,1202.26,880.382
1202.26,1203.36,1201.06,1202.95,1286.0843
1202.95,1203.51,1202.53,1203.27,1392.5266
1203.26,1203.92,1202.51,1202.79,1287.3238
1202.79,1203,1200.6,1200.75,2611.234
1200.76,1201.92,1198.9,1200.15,3649.7458
1200.15,1200.66,1199.61,1200.47,902.3907
1200.47,1201.13,1200.04,1200.78,755.3263
1200.78,1200.99,1200.54,1200.63,578.6399
1200.64,1200.64,1199.99,1200.18,979.2439
1200.18,1200.19,1199.53,1199.63,816.4385
1199.62,1200.33,1199.24,1199.6,1043.0456
1199.59,1200.57,1199.42,1200.56,806.0337
1200.56,1200.77,1200.02,1200.41,661.4881
1200.4,1203.17,1200.39,1202.28,2241.7137
1202.28,1205.61,1202.28,1202.65,2725.7849
1202.66,1203,1202.3,1202.65,731.898
1202.66,1203.14,1202.62,1202.84,1090.5196
1202.85,1203.38,1202.35,1203.37,931.7673
1203.37,1203.71,1202.33,1202.34,803.1624
1202.33,1203,1202.33,1202.8,600.3614
1202.8,1202.94,1201.04,1201.54,1312.1544
1201.55,1201.55,1200.61,1200.66,756.43
1200.65,1200.81,1199.83,1200.1,1196.5404
1200.09,1201.11,1199.86,1200.89,1027.8551
1200.88,1200.89,1197.7,1199.26,2841.6347
1199.26,1199.94,1197.75,1197.89,2689.6456
1197.89,1197.89,1193.08,1196.19,2990.3439
1196.18,1196.19,1193.6,1195.57,2481.748
1195.58,1196.7,1194.98,1195.68,1659.6445
1195.68,1197.43,1195.02,1196.81,947.3254
1196.82,1196.99,1195.42,1196.13,838.7141
1196.13,1196.69,1194.55,1194.55,1245.8855
1194.55,1196.7,1194.31,1196.61,1141.6075
1196.62,1196.62,1192.72,1193.64,2206.9409
1193.64,1195.06,1193.63,1194.09,1294.9501
1194.09,1195.75,1193.84,1195.38,1175.801
1195.38,1195.61,1195.01,1195.45,534.1101
1195.45,1195.58,1194.72,1194.92,815.5492
1194.92,1196.37,1194.92,1196.02,631.7476
1196.01,1196.02,1194.11,1195.22,1695.5041
1195.21,1196.13,1195.02,1196.12,775.1099
1196.13,1196.74,1195.27,1195.27,745.934
1195.28,1195.72,1195.27,1195.4,535.4996
1195.41,1195.41,1192.28,1193.2,3422.853
1193.19,1193.4,1191.71,1193.38,2262.1415
1193.39,1194,1193.17,1194,923.9797
1194,1194.39,1193.75,1194.04,884.4465
1194.05,1194.05,1192.63,1192.64,1580.2392
1192.63,1192.85,1190.57,1192.18,3052.2194
1192.18,1192.93,1192.03,1192.04,742.609
1192.03,1192.93,1191.98,1192.92,1034.1815
1192.92,1193.53,1192.71,1193.29,614.5896
1193.29,1194.26,1193.13,1194.18,639.8875
1194.19,1194.26,1193.52,1194.1,541.5214
1194.09,1194.67,1194.09,1194.54,520.3463
1194.55,1195.23,1193.97,1194.09,1376.0106
1194.09,1194.92,1194.09,1194.6,1068.8736
1194.59,1194.6,1193.81,1194.37,642.782
1194.36,1194.82,1194.11,1194.81,1014.4295
1194.81,1195.18,1193.63,1194.37,1675.1834
1194.36,1194.61,1193.04,1194.6,1522.0955
1194.61,1195.17,1193.8,1195.16,910.7322
1195.16,1195.75,1194.61,1195.06,1718.7587
1195.07,1195.9,1194.5,1194.51,1266.4382
1194.5,1195.55,1194.38,1195.28,652.5502
1195.27,1195.55,1194.24,1194.29,619.202
1194.3,1194.68,1194.17,1194.28,586.4118
1194.27,1194.58,1193.98,1194.57,757.7054
1194.56,1195.62,1194.56,1194.76,817.1621
1194.76,1195.99,1194.76,1195.98,450.9908
1195.98,1196.55,1195.6,1196.48,738.0895
1196.47,1196.48,1195.7,1196.29,489.0501
1196.29,1196.34,1195.98,1196.21,380.1043
1196.22,1196.22,1195.59,1195.66,556.5141
1195.66,1197.19,1195.66,1197.14,580.9124
1197.14,1197.41,1196.59,1196.92,1058.8885
1196.93,1196.93,1196.08,1196.16,618.4101
1196.16,1196.44,1195.81,1196.05,773.119
1196.04,1196.35,1195.72,1196.34,403.6366
1196.35,1197.55,1195.83,1197.21,1232.322
