Open,High,Low,Close,fitting_weight_scaled
55500,56100,55200,55500,-0.511573382
55400,56000,54500,55400,-0.314067203
55700,58000,55600,57800,-0.116561024
58200,58800,57600,58200,-0.314067203
58300,59400,57900,59000,-0.511573382
59700,60700,59600,60700,1.265982229
60200,61100,59900,60400,-1.104091918
61000,61200,60300,60500,-0.90658574
61100,61200,59900,60500,-0.709079561
60500,61200,60400,60800,-1.301598097
61300,61600,60800,61100,-0.314067203
61200,61500,60600,61000,0.475957513
60700,61000,59900,60400,1.463488408
60500,61500,60400,61500,1.06847605
62100,62300,61100,61800,1.858500766
63500,63700,63000,63300,1.463488408
63800,63900,63300,63800,-0.314067203
64400,65000,63900,64600,-0.511573382
64900,64900,63100,63300,-2.091622813
63500,63700,61000,61400,-1.301598097
62600,62700,61000,61000,-0.511573382
63200,63900,62600,63500,-0.709079561
63900,64000,63000,63500,-0.511573382
62800,63000,61600,61600,-1.301598097
61900,62500,61600,62000,-0.511573382
62800,63300,62400,63100,0.278451334
63000,63300,62300,63300,-0.511573382
62600,63000,62400,62900,-0.116561024
62900,63000,62300,62900,0.870969871
63600,63900,63200,63200,-1.301598097
63900,63900,62000,62200,-0.90658574
62500,63700,62400,63700,-0.511573382
62900,63300,62400,62600,-0.314067203
62900,63000,61800,62700,-0.90658574
62700,62800,62000,62100,0.278451334
61500,61800,61000,61100,-0.511573382
61700,62500,61500,62000,1.06847605
62300,62600,61300,61300,0.475957513
60800,60800,60200,60500,-0.709079561
60800,61400,60500,60600,-0.116561024
60900,61800,60500,60800,1.06847605
61000,61200,60500,60500,1.265982229
61100,61600,60800,61500,1.463488408
61400,61400,60700,60700,-0.511573382
60100,60500,59900,60300,-0.90658574
60500,60800,59900,60100,-0.116561024
59500,59700,59100,59500,-0.116561024
59900,60200,59300,60000,-0.709079561
59400,59500,59000,59000,0.278451334
60000,60300,59600,59800,-0.511573382
59200,60200,59100,59900,-0.709079561
60800,61300,60600,61300,-0.314067203
61100,61200,60200,60200,0.870969871
60500,60700,60100,60300,-0.314067203
61000,61200,60500,61100,2.451019303
60600,62300,60600,62300,1.06847605
62700,63300,62300,63000,-0.116561024
62600,62800,62000,62100,1.660994587
62400,62900,62100,62900,-0.511573382
62500,62700,62200,62700,-0.90658574
63700,63700,63100,63200,0.278451334
64000,64000,63700,64000,0.870969871
64000,64000,63000,63100,-0.511573382
63400,63800,62800,63600,1.660994587
63700,64000,63400,63900,1.06847605
63500,63600,62300,62300,0.475957513
63800,65200,63800,65000,2.253513124
64800,66300,64700,65700,-0.314067203
66200,66200,65400,65900,1.265982229
65800,66200,65300,66000,1.265982229
65600,66100,65400,66100,1.06847605
66600,66600,65000,65100,0.475957513
65000,65600,64700,65300,1.265982229
65900,66000,64800,65600,2.253513124
65500,65800,65300,65500,-1.301598097
65100,65300,64600,65300,-1.301598097
65800,65900,65400,65700,-1.499104276
65300,65700,64800,65200,-0.709079561
65300,65400,63400,63600,-0.116561024
63600,64300,63300,64100,-0.314067203
64100,65000,63300,64600,-1.499104276
65200,65900,65000,65500,-0.511573382
66000,66300,65100,65700,-0.709079561
65100,65600,64900,65400,-0.116561024
65600,65700,64700,65100,0.475957513
66300,66300,65400,65900,1.06847605
65800,65800,65100,65300,1.463488408
65500,65500,64300,64600,0.870969871
64700,65100,64200,64200,1.660994587
63700,64600,63600,64100,-0.314067203
64100,64600,63900,64500,-0.90658574
65800,65900,65300,65400,0.278451334
65900,65900,64800,65000,-1.894116634
66000,66200,65700,66200,-1.104091918
67800,68400,67500,68400,-0.709079561
68400,69000,68000,68500,-1.104091918
68500,68700,68100,68400,0.080945155
68100,68700,68000,68500,-0.511573382
69900,70000,68700,68800,0.673463692
69800,70400,69500,70300,1.06847605
71300,72300,71200,72300,1.463488408
72400,72500,71000,71400,-0.511573382
70900,71600,70600,70900,-0.116561024
71700,72200,71600,72200,-0.511573382
72700,72700,71400,71700,0.278451334
71300,71600,70800,71000,-0.314067203
70400,70900,70000,70900,1.06847605
71100,72300,70800,72000,-1.301598097
72100,72400,70800,71000,-1.499104276
71700,72200,71600,72000,-0.90658574
72100,72200,71100,71900,-0.314067203
72100,72300,71300,71500,-0.116561024
71800,71900,70900,71800,0.080945155
71300,71700,70900,71200,1.660994587
70700,71400,70400,71400,2.451019303
70700,71200,70400,70500,1.265982229
70200,71500,70100,71300,-0.314067203
72000,72200,71600,71600,-0.314067203
71700,72500,71500,72400,-0.511573382
